CustomerID,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,EducationLevel,Occupation,HomeOwner
CR-27303,Edwin,Rubio,3/27/1983,M,M,edwin39@hotmail.com,60000,Partial College,Skilled Manual,Y
TB-112803,Mallory,Ross,8/1/1980,S,F,mallory7@hotmail.com,60000,Partial College,Skilled Manual,N
MP-74703,Adam,Navarro,8/16/1991,M,M,adam2@hotmail.com,60000,Bachelors,Professional,Y
DC-32853,Latasha,Sai,11/24/1977,S,F,latasha10@hotmail.com,60000,Partial College,Skilled Manual,Y
HF-49953,Abby,Nelson,6/8/2000,S,F,abby4@hotmail.com,70000,Bachelors,Professional,N
CA-23103,Julia,Chande,1/5/1990,S,F,julia7@hotmail.com,80000,Bachelors,Professional,Y
JO-55503,Cassie,Sara,4/23/1989,S,F,cassie13@hotmail.com,70000,Bachelors,Professional,Y
BD-16053,Edgar,Fernandez,12/23/1976,M,M,edgar11@hotmail.com,70000,Bachelors,Professional,N
SL-101553,Candace,Liu,10/6/1970,S,F,candace15@hotmail.com,70000,Bachelors,Professional,N
KE-64203,Jessie,Lin,7/12/1987,S,M,jessie9@hotmail.com,70000,Bachelors,Professional,N
AH-2103,Bianca,Alvarez,5/17/1974,M,F,bianca7@hotmail.com,90000,Bachelors,Professional,Y
AG-7653,Kari,Kapoor,9/17/1980,S,F,kari25@hotmail.com,70000,Bachelors,Professional,N
AM-3603,Ruben,Yang,12/11/1995,S,M,ruben1@hotmail.com,70000,Bachelors,Professional,N
RC-99603,Curtis,Gutierrez,2/27/1984,M,M,curtis5@hotmail.com,60000,Partial College,Skilled Manual,Y
CC-21003,Meredith,Wang,7/25/1981,M,F,meredith34@hotmail.com,60000,Partial College,Skilled Manual,Y
RD-96603,Crystal,Blanco,2/7/1962,M,F,crystal3@hotmail.com,60000,Partial College,Skilled Manual,Y
BT-14853,Micheal,Moreno,5/17/1997,M,M,micheal11@hotmail.com,70000,Bachelors,Professional,Y
SB-101703,Leslie,Cai,8/13/1983,S,F,leslie7@hotmail.com,70000,Partial College,Skilled Manual,Y
RD-99303,Alvin,Carlson,1/1/1985,M,M,alvin20@hotmail.com,70000,Partial College,Skilled Manual,Y
MO-78003,Clinton,Deng,6/22/1994,M,M,clinton14@hotmail.com,70000,Partial College,Skilled Manual,Y
OT-87303,April,Zeng,2/15/1979,M,F,april1@hotmail.com,70000,Partial College,Skilled Manual,Y
TS-115053,Alvin,James,1/19/1991,S,M,alvin21@hotmail.com,80000,Partial College,Skilled Manual,N
CS-18603,Evan,Suarez,6/10/1994,S,M,evan8@hotmail.com,30000,Partial College,Clerical,N
RB-96453,Orlando,Vazquez,4/26/1997,M,M,orlando19@hotmail.com,70000,Partial College,Skilled Manual,Y
LW-71253,Byron,Alvarez,9/1/1999,M,M,byron9@hotmail.com,70000,Partial College,Skilled Manual,Y
TH-112353,Philip,Jordan,4/25/1976,M,M,philip4@hotmail.com,70000,Partial College,Skilled Manual,Y
JK-53704,Ross,Navarro,1/14/1975,S,M,ross1@hotmail.com,80000,Partial College,Skilled Manual,Y
DH-30754,Dana,Carson,5/2/1964,S,F,dana2@hotmail.com,70000,Partial College,Skilled Manual,Y
AS-2854,Shaun,Edwards,4/17/1977,M,M,shaun16@hotmail.com,10000,High School,Skilled Manual,N
IG-50854,Jan,Long,7/5/1993,M,F,jan11@hotmail.com,40000,High School,Skilled Manual,Y
LC-70504,Samantha,Wright,10/7/1988,M,F,samantha35@hotmail.com,40000,High School,Skilled Manual,Y
AJ-9454,Julia,Russell,6/7/1967,S,F,julia17@hotmail.com,40000,High School,Skilled Manual,Y
AA-4804,Caroline,Rivera,10/17/1999,M,F,caroline21@hotmail.com,30000,High School,Skilled Manual,Y
DL-34954,Amanda,Richardson,5/22/1991,M,F,amanda7@hotmail.com,30000,High School,Skilled Manual,N
HG-48454,Melissa,Griffin,3/1/1965,S,F,melissa31@hotmail.com,30000,High School,Skilled Manual,N
MM-79204,Angela,Townsend,10/8/1986,S,F,angela23@hotmail.com,30000,Partial High School,Clerical,N
RE-94054,Larry,Harris,10/23/1975,S,M,larry14@hotmail.com,10000,High School,Skilled Manual,Y
JP-54604,Marcus,Morgan,7/23/1960,S,M,marcus14@hotmail.com,30000,Partial High School,Clerical,N
DC-28504,Brianna,Taylor,1/25/1960,S,F,brianna30@hotmail.com,40000,High School,Skilled Manual,N
RW-95404,Jasmine,Davis,2/26/1979,M,F,jasmine7@hotmail.com,40000,High School,Skilled Manual,Y
BE-14554,Lauren,Moreno,4/4/1968,M,F,lauren23@hotmail.com,40000,High School,Skilled Manual,N
DV-34654,Tanya,Alvarez,8/2/1963,S,F,tanya2@hotmail.com,30000,Partial College,Clerical,N
CC-24754,Javier,Ramirez,9/28/1984,S,M,javier1@hotmail.com,30000,Partial High School,Clerical,N
LC-69304,Nicole,Patterson,1/23/1987,M,F,nicole42@hotmail.com,40000,High School,Skilled Manual,N
JF-54154,Eduardo,Henderson,2/26/1980,S,M,eduardo55@hotmail.com,40000,High School,Skilled Manual,N
RO-97804,Jonathan,Hernandez,1/23/1969,M,M,jonathan4@hotmail.com,40000,High School,Skilled Manual,Y
RP-98554,Edward,Coleman,1/3/1991,S,M,edward48@hotmail.com,40000,High School,Skilled Manual,N
JK-60904,Jasmine,Goel,8/6/1973,S,F,jasmine46@hotmail.com,40000,High School,Skilled Manual,N
SC-103054,Karla,Wu,2/21/1999,S,F,karla20@hotmail.com,40000,Bachelors,Management,Y
CW-19054,Ernest,Vazquez,11/14/1977,M,M,ernest6@hotmail.com,60000,Graduate Degree,Management,Y
LC-69604,Ross,Gill,11/26/1994,M,M,ross32@hotmail.com,40000,Bachelors,Management,Y
BP-12904,Theodore,Shen,10/1/1976,M,M,theodore14@hotmail.com,40000,Bachelors,Management,Y
TB-113554,Russell,Gill,4/22/1994,S,M,russell6@hotmail.com,40000,Bachelors,Management,Y
SW-104554,Melinda,Williams,9/18/1980,S,F,melinda9@hotmail.com,60000,Graduate Degree,Management,N
MG-82054,James,James,4/2/2000,S,M,james77@hotmail.com,40000,High School,Skilled Manual,Y
JC-53404,Angela,Walker,9/19/1973,M,F,angela34@hotmail.com,40000,High School,Skilled Manual,Y
CA-23104,Megan,Robinson,2/19/1961,S,F,megan25@hotmail.com,40000,Partial College,Skilled Manual,Y
DK-32254,Hunter,Roberts,11/14/1989,S,M,hunter50@hotmail.com,40000,Partial College,Skilled Manual,N
SF-102004,Maria,Long,10/1/1963,S,F,maria47@hotmail.com,40000,Partial College,Skilled Manual,N
SK-99904,Hannah,Wright,8/14/1990,M,F,hannah32@hotmail.com,40000,High School,Skilled Manual,Y
GM-45004,Jason,Hughes,4/11/1987,S,M,jason46@hotmail.com,40000,High School,Skilled Manual,Y
EP-39154,Brianna,Tang,5/25/1985,S,F,brianna57@hotmail.com,40000,High School,Skilled Manual,N
DR-29404,Maurice,Wood,10/19/1989,S,M,maurice4@hotmail.com,40000,Partial College,Skilled Manual,N
KL-66454,Emily,Cox,2/5/1997,S,F,emily27@hotmail.com,40000,Partial College,Skilled Manual,N
MO-75004,Chase,Wang,7/26/1970,S,M,chase10@hotmail.com,40000,Partial College,Skilled Manual,Y
AZ-7504,Gabriel,Brooks,3/7/1979,M,M,gabriel21@hotmail.com,40000,Partial College,Skilled Manual,Y
KD-63454,Devin,Alexander,10/13/1979,S,M,devin63@hotmail.com,40000,Partial College,Skilled Manual,N
MA-79954,Jocelyn,Martinez,4/3/1969,M,F,jocelyn18@hotmail.com,60000,Partial College,Skilled Manual,N
DK-31504,Ashley,Barnes,12/23/1969,S,F,ashley18@hotmail.com,70000,Partial College,Skilled Manual,N
JE-57454,Jasmine,Rodriguez,11/5/1961,S,F,jasmine43@hotmail.com,80000,Bachelors,Management,N
JH-59854,David,Richardson,5/22/1990,S,M,david83@hotmail.com,80000,Bachelors,Management,N
SC-100204,Bryce,Howard,6/12/1961,M,M,bryce8@hotmail.com,90000,Bachelors,Management,Y
JM-56554,Carol,Hill,7/19/1984,M,F,carol5@hotmail.com,90000,Bachelors,Management,Y
LM-70654,Jonathan,Adams,5/8/1977,S,M,jonathan43@hotmail.com,100000,Bachelors,Management,Y
RM-93754,Gabrielle,Thomas,7/13/1972,M,F,gabrielle58@hotmail.com,100000,Bachelors,Management,Y
GK-46204,Sarah,Robinson,7/23/1982,S,F,sarah13@hotmail.com,110000,Graduate Degree,Management,N
BS-18004,Nicholas,Wang,12/25/1982,M,M,nicholas19@hotmail.com,110000,Graduate Degree,Management,Y
LH-69004,Luis,Roberts,12/7/1966,S,M,luis24@hotmail.com,70000,Partial College,Skilled Manual,Y
LW-71254,Mason,Flores,3/12/1984,M,M,mason25@hotmail.com,90000,Bachelors,Management,Y
RD-95854,Jose,Johnson,7/4/1989,M,M,jose6@hotmail.com,110000,Graduate Degree,Management,Y
BD-17254,Nathan,Rodriguez,12/9/1997,M,M,nathan55@hotmail.com,100000,Graduate Degree,Management,Y
HJ-48754,Molly,Anand,11/6/1981,M,F,molly18@hotmail.com,120000,Graduate Degree,Management,Y
CM-26554,April,Martin,8/1/1980,M,F,april18@hotmail.com,160000,Bachelors,Management,Y
AH-5854,Devin,Torres,6/24/1977,M,M,devin13@hotmail.com,170000,Graduate Degree,Management,Y
HZ-49504,Stephanie,Lee,7/14/1988,S,F,stephanie19@hotmail.com,70000,Bachelors,Management,Y
JP-155205,Jasmine,Hernandez,6/26/1974,S,F,jasmine19@hotmail.com,70000,Bachelors,Management,Y
JM-152505,Meghan,Henderson,1/5/1975,S,F,meghan3@hotmail.com,70000,Bachelors,Management,Y
BC-111255,Ashley,Price,7/13/1961,S,F,ashley31@hotmail.com,70000,Bachelors,Management,Y
JH-161805,Sarah,Cooper,5/1/1965,S,F,sarah25@hotmail.com,70000,Bachelors,Management,Y
DJ-134205,Jennifer,Morris,12/19/1981,M,F,jennifer63@hotmail.com,60000,Graduate Degree,Management,Y
AD-101805,Catherine,Bryant,8/14/1993,M,F,catherine16@hotmail.com,60000,Graduate Degree,Management,N
CR-127305,Carson,Perez,1/17/1993,M,M,carson17@hotmail.com,70000,Bachelors,Management,Y
HF-149955,Kristi,Brown,7/25/1985,S,F,kristi39@hotmail.com,70000,Bachelors,Management,Y
JK-156255,James,Gray,7/25/1969,M,M,james79@hotmail.com,60000,Bachelors,Management,Y
JH-159855,Ian,Price,6/13/1994,M,M,ian72@hotmail.com,60000,Bachelors,Management,Y
EC-140505,Jacqueline,Henderson,7/22/1978,M,F,jacqueline0@hotmail.com,60000,Bachelors,Management,Y
SV-209355,Megan,Romero,10/2/1979,M,F,megan55@hotmail.com,60000,Bachelors,Management,Y
SP-209205,Alfredo,Morris,12/1/1977,M,M,alfredo10@hotmail.com,60000,Bachelors,Management,Y
JB-160005,Andrea,Sanders,8/3/1998,M,F,andrea18@hotmail.com,70000,Bachelors,Management,N
LH-169005,Brooke,Bennett,12/1/1981,S,F,brooke3@hotmail.com,70000,Bachelors,Management,Y
LC-171405,Jacqueline,Griffin,11/12/1960,M,F,jacqueline1@hotmail.com,70000,Bachelors,Management,Y
MS-179805,Jason,Foster,9/27/1974,M,M,jason18@hotmail.com,70000,Bachelors,Management,Y
CY-127455,Amanda,Price,12/14/1984,M,F,amanda37@hotmail.com,70000,Bachelors,Management,Y
EM-138105,Alexia,Diaz,2/19/1987,M,F,alexia0@hotmail.com,80000,Bachelors,Management,N
EM-141405,Luis,Fernandez,10/25/1998,M,M,luis21@hotmail.com,40000,High School,Professional,Y
MW-182205,Abby,Flores,7/14/1966,M,F,abby13@hotmail.com,40000,High School,Professional,Y
MC-172755,Blake,Cox,8/16/1983,M,M,blake60@hotmail.com,60000,Partial College,Professional,Y
RD-194805,Danielle,Reed,5/24/1989,S,F,danielle12@hotmail.com,60000,Partial College,Professional,Y
CM-121905,Maria,Evans,4/19/1967,M,F,maria4@hotmail.com,60000,Bachelors,Management,Y
BO-114255,Allison,Wood,7/1/1968,M,F,allison21@hotmail.com,60000,Bachelors,Management,Y
TG-216405,Edward,Russell,1/3/1986,M,M,edward50@hotmail.com,70000,Partial College,Professional,Y
MS-177105,Samantha,Campbell,1/19/1960,M,F,samantha42@hotmail.com,40000,High School,Professional,Y
CA-127755,Chloe,Murphy,12/28/1988,M,F,chloe4@hotmail.com,40000,High School,Professional,Y
JC-153405,Stephanie,Miller,5/16/1968,S,F,stephanie11@hotmail.com,60000,Partial College,Professional,Y
GA-147255,Charles,Perry,10/26/1962,S,M,charles9@hotmail.com,60000,Partial College,Professional,Y
MM-179205,Ana,Torres,11/25/1968,M,F,ana7@hotmail.com,40000,Partial High School,Skilled Manual,Y
EB-137055,Jasmine,Adams,5/6/1979,S,F,jasmine32@hotmail.com,60000,Partial College,Professional,Y
DS-130305,Natalie,Brown,6/2/1998,S,F,natalie58@hotmail.com,60000,Partial College,Professional,Y
JC-153855,Olivia,Cook,4/1/1995,S,F,olivia4@hotmail.com,60000,Partial College,Professional,N
JK-152055,Charles,Huang,4/2/1981,M,M,charles69@hotmail.com,60000,High School,Professional,Y
GG-146505,Erica,Perry,10/16/1991,M,F,erica5@hotmail.com,60000,Partial College,Professional,Y
CD-127905,Nathan,Rivera,12/19/1991,M,M,nathan3@hotmail.com,70000,Partial College,Professional,Y
AJ-109455,Alexandra,Patterson,7/27/1991,M,F,alexandra11@hotmail.com,80000,Bachelors,Management,Y
BW-112005,Hailey,Li,10/12/1979,S,F,hailey30@hotmail.com,70000,High School,Professional,Y
ME-173205,Tiffany,Ross,9/9/1971,S,F,tiffany3@hotmail.com,70000,High School,Professional,Y
MF-176655,Sydney,Chavez,3/23/1972,M,F,sydney26@hotmail.com,60000,Partial College,Professional,Y
SJ-202155,Marshall,Jones,9/3/1960,S,M,marshall35@hotmail.com,60000,Partial College,Professional,Y
KD-166155,Ashley,Stewart,9/10/1986,M,F,ashley3@hotmail.com,60000,Partial College,Professional,Y
MM-172605,Adrian,Turner,10/26/1977,S,M,adrian21@hotmail.com,70000,Partial College,Professional,Y
SG-208905,Amber,Zhang,11/2/1967,M,F,amber4@hotmail.com,70000,Partial College,Professional,N
AR-104055,Dennis,Bryant,8/27/1993,M,M,dennis1@hotmail.com,60000,High School,Professional,Y
RM-197505,Hailey,Li,1/6/1997,M,F,hailey38@hotmail.com,60000,High School,Professional,N
KL-165555,Todd,Griffin,8/11/1970,M,M,todd5@hotmail.com,70000,Partial College,Professional,Y
GM-146955,Anna,Stewart,4/4/1980,S,NA,anna46@hotmail.com,70000,Partial College,Professional,Y
KN-163905,Angel,Butler,3/7/1981,M,M,angel24@hotmail.com,70000,Partial College,Professional,Y
GM-144405,Jeremy,Anand,11/23/1986,S,M,jeremy29@hotmail.com,70000,Partial College,Professional,Y
CC-122205,Clarence,Prasad,6/20/2000,S,M,clarence36@hotmail.com,130000,Bachelors,Management,N
CK-122055,Mayra,Goel,3/1/1981,S,F,mayra9@hotmail.com,130000,Bachelors,Management,N
CH-120705,Latoya,Hernandez,7/19/1991,M,F,latoya18@hotmail.com,130000,Partial College,Professional,N
DL-128655,Anne,Cai,10/8/1986,M,F,anne4@hotmail.com,160000,Partial College,Professional,Y
RP-193905,Lisa,Munoz,8/15/1989,S,F,lisa24@hotmail.com,100000,Partial College,Professional,Y
BW-111105,Larry,Alvarez,1/17/1995,M,M,larry9@hotmail.com,110000,Partial College,Professional,Y
EL-137355,Robin,Coleman,11/13/1974,M,F,robin2@hotmail.com,150000,Partial College,Professional,Y
RB-193305,Alexis,Vazquez,7/3/1978,S,F,alexis28@hotmail.com,170000,Bachelors,Management,N
MN-179355,Ricky,Zhou,11/1/1979,M,M,ricky15@hotmail.com,120000,High School,Professional,N
AB-100605,Claudia,Alexander,4/27/1962,S,F,claudia7@hotmail.com,130000,Partial College,Professional,N
EH-141855,Tristan,Patel,8/21/1963,M,M,tristan19@hotmail.com,110000,Partial College,Professional,Y
AF-108855,Cindy,Liu,10/9/1984,M,F,cindy3@hotmail.com,130000,Partial College,Professional,Y
MS-178305,Shannon,Long,2/19/1978,M,F,shannon4@hotmail.com,170000,High School,Professional,Y
PF-191655,Xavier,Thompson,10/16/1979,S,M,xavier51@hotmail.com,30000,High School,Professional,N
PA-190605,Nicholas,Hernandez,4/20/1974,S,M,nicholas16@hotmail.com,90000,Graduate Degree,Management,Y
SC-208455,José,Vance,1/8/1986,M,M,josé54@hotmail.com,60000,Graduate Degree,Management,Y
SB-202905,Johnathan,Lin,4/5/1996,M,M,johnathan5@hotmail.com,70000,Graduate Degree,Management,Y
SH-206355,Colin,Hernandez,12/13/1985,M,M,colin8@hotmail.com,70000,Graduate Degree,Management,Y
BD-117705,Katelyn,Powell,7/15/1997,M,F,katelyn42@hotmail.com,70000,Graduate Degree,Management,Y
FW-143955,Jacqueline,Hill,9/18/1961,S,F,jacqueline9@hotmail.com,120000,Graduate Degree,Management,Y
AA-106455,Xavier,Stewart,4/2/1992,M,M,xavier26@hotmail.com,120000,Graduate Degree,Management,Y
CK-123255,Victoria,Kelly,7/22/1989,M,F,victoria24@hotmail.com,100000,Partial College,Professional,Y
FP-143205,Katelyn,Collins,11/9/1990,M,F,katelyn1@hotmail.com,110000,Bachelors,Management,Y
JK-160905,Stephanie,Simmons,1/28/1987,M,F,stephanie52@hotmail.com,130000,Graduate Degree,Management,Y
